,Time,Title,Type,RemoteAddr,Protocol,BitsPerSecond,ConnectionsPerSecond,PacketsPerSecond,AverageLatency
0,2021-11-13T16:48:10Z,,TestResult,127.0.0.1,TCP,0,1,--  ,--  
1,2021-11-13T16:48:11Z,,TestResult,127.0.0.1,TCP,26.99G,0,--  ,--  
2,2021-11-13T16:48:12Z,,TestResult,127.0.0.1,TCP,32.26G,0,--  ,--  
3,2021-11-13T16:48:13Z,,TestResult,127.0.0.1,TCP,34.37G,0,--  ,--  
4,2021-11-13T16:48:14Z,,TestResult,127.0.0.1,TCP,34.23G,0,--  ,--  
5,2021-11-13T16:48:15Z,,TestResult,127.0.0.1,TCP,33.94G,0,--  ,--  
6,2021-11-13T16:48:16Z,,TestResult,127.0.0.1,TCP,30.27G,0,--  ,--  
7,2021-11-13T16:48:17Z,,TestResult,127.0.0.1,TCP,30.49G,0,--  ,--  
8,2021-11-13T16:48:18Z,,TestResult,127.0.0.1,TCP,33.68G,0,--  ,--  
9,2021-11-13T16:48:19Z,,TestResult,127.0.0.1,TCP,31.90G,0,--  ,--  
10,2021-11-13T16:48:20Z,,TestResult,127.0.0.1,TCP,27.37G,0,--  ,--  
11,2021-11-13T16:48:21Z,,TestResult,127.0.0.1,TCP,33.59G,0,--  ,--  
12,2021-11-13T16:48:22Z,,TestResult,127.0.0.1,TCP,32.08G,0,--  ,--  
13,2021-11-13T16:48:23Z,,TestResult,127.0.0.1,TCP,32.50G,0,--  ,--  
14,2021-11-13T16:48:24Z,,TestResult,127.0.0.1,TCP,33.27G,0,--  ,--  
15,2021-11-13T16:48:25Z,,TestResult,127.0.0.1,TCP,30.31G,0,--  ,--  
16,2021-11-13T16:48:26Z,,TestResult,127.0.0.1,TCP,33.17G,0,--  ,--  
17,2021-11-13T16:48:27Z,,TestResult,127.0.0.1,TCP,34.20G,0,--  ,--  
18,2021-11-13T16:48:28Z,,TestResult,127.0.0.1,TCP,33.76G,0,--  ,--  
19,2021-11-13T16:48:29Z,,TestResult,127.0.0.1,TCP,33.61G,0,--  ,--  
20,2021-11-13T16:48:30Z,,TestResult,127.0.0.1,TCP,33.19G,0,--  ,--  
21,2021-11-13T16:48:31Z,,TestResult,127.0.0.1,TCP,31.80G,0,--  ,--  
22,2021-11-13T16:48:32Z,,TestResult,127.0.0.1,TCP,28.95G,0,--  ,--  
23,2021-11-13T16:48:33Z,,TestResult,127.0.0.1,TCP,32.18G,0,--  ,--  
24,2021-11-13T16:48:34Z,,TestResult,127.0.0.1,TCP,31.10G,0,--  ,--  
